time_seconds,cycle,phase,pressure_torr,shroud_temp,node_id,measured_temp
3230.0,3,HOT_RAMP,1.000000e-06,-62.50,1,-90.687
3230.0,3,HOT_RAMP,1.000000e-06,-62.50,2,-80.622
3230.0,3,HOT_RAMP,1.000000e-06,-62.50,3,-69.947
3230.0,3,HOT_RAMP,1.000000e-06,-62.50,4,-63.607
3230.0,3,HOT_RAMP,1.000000e-06,-62.50,5,-73.044
3230.0,3,HOT_RAMP,1.000000e-06,-62.50,6,-88.743
3235.0,3,HOT_RAMP,1.000000e-06,-60.00,1,-87.010
3235.0,3,HOT_RAMP,1.000000e-06,-60.00,2,-76.934
3235.0,3,HOT_RAMP,1.000000e-06,-60.00,3,-66.830
3235.0,3,HOT_RAMP,1.000000e-06,-60.00,4,-60.987
3235.0,3,HOT_RAMP,1.000000e-06,-60.00,5,-69.841
3235.0,3,HOT_RAMP,1.000000e-06,-60.00,6,-84.927
3240.0,3,HOT_RAMP,1.000000e-06,-57.50,1,-83.336
3240.0,3,HOT_RAMP,1.000000e-06,-57.50,2,-73.318
3240.0,3,HOT_RAMP,1.000000e-06,-57.50,3,-63.838
3240.0,3,HOT_RAMP,1.000000e-06,-57.50,4,-58.353
3240.0,3,HOT_RAMP,1.000000e-06,-57.50,5,-66.481
3240.0,3,HOT_RAMP,1.000000e-06,-57.50,6,-80.974
3245.0,3,HOT_RAMP,1.000000e-06,-55.00,1,-79.664
3245.0,3,HOT_RAMP,1.000000e-06,-55.00,2,-69.722
3245.0,3,HOT_RAMP,1.000000e-06,-55.00,3,-60.856
3245.0,3,HOT_RAMP,1.000000e-06,-55.00,4,-55.696
3245.0,3,HOT_RAMP,1.000000e-06,-55.00,5,-63.352
3245.0,3,HOT_RAMP,1.000000e-06,-55.00,6,-77.066
3250.0,3,HOT_RAMP,1.000000e-06,-52.50,1,-75.989
3250.0,3,HOT_RAMP,1.000000e-06,-52.50,2,-66.233
3250.0,3,HOT_RAMP,1.000000e-06,-52.50,3,-57.981
3250.0,3,HOT_RAMP,1.000000e-06,-52.50,4,-53.070
3250.0,3,HOT_RAMP,1.000000e-06,-52.50,5,-60.280
3250.0,3,HOT_RAMP,1.000000e-06,-52.50,6,-73.229
3255.0,3,HOT_RAMP,1.000000e-06,-50.00,1,-72.353
3255.0,3,HOT_RAMP,1.000000e-06,-50.00,2,-62.755
3255.0,3,HOT_RAMP,1.000000e-06,-50.00,3,-55.145
3255.0,3,HOT_RAMP,1.000000e-06,-50.00,4,-50.537
3255.0,3,HOT_RAMP,1.000000e-06,-50.00,5,-57.218
3255.0,3,HOT_RAMP,1.000000e-06,-50.00,6,-69.455
3260.0,3,HOT_RAMP,1.000000e-06,-47.50,1,-68.677
3260.0,3,HOT_RAMP,1.000000e-06,-47.50,2,-59.313
3260.0,3,HOT_RAMP,1.000000e-06,-47.50,3,-52.286
3260.0,3,HOT_RAMP,1.000000e-06,-47.50,4,-47.942
3260.0,3,HOT_RAMP,1.000000e-06,-47.50,5,-54.233
3260.0,3,HOT_RAMP,1.000000e-06,-47.50,6,-65.654
3265.0,3,HOT_RAMP,1.000000e-06,-45.00,1,-65.095
3265.0,3,HOT_RAMP,1.000000e-06,-45.00,2,-56.056
3265.0,3,HOT_RAMP,1.000000e-06,-45.00,3,-49.447
3265.0,3,HOT_RAMP,1.000000e-06,-45.00,4,-45.270
3265.0,3,HOT_RAMP,1.000000e-06,-45.00,5,-51.352
3265.0,3,HOT_RAMP,1.000000e-06,-45.00,6,-62.050
3270.0,3,HOT_RAMP,1.000000e-06,-42.50,1,-61.439
3270.0,3,HOT_RAMP,1.000000e-06,-42.50,2,-52.825
3270.0,3,HOT_RAMP,1.000000e-06,-42.50,3,-46.745
3270.0,3,HOT_RAMP,1.000000e-06,-42.50,4,-42.695
3270.0,3,HOT_RAMP,1.000000e-06,-42.50,5,-48.397
3270.0,3,HOT_RAMP,1.000000e-06,-42.50,6,-58.496
3275.0,3,HOT_RAMP,1.000000e-06,-40.00,1,-57.840
3275.0,3,HOT_RAMP,1.000000e-06,-40.00,2,-49.646
3275.0,3,HOT_RAMP,1.000000e-06,-40.00,3,-43.976
3275.0,3,HOT_RAMP,1.000000e-06,-40.00,4,-40.231
3275.0,3,HOT_RAMP,1.000000e-06,-40.00,5,-45.573
3275.0,3,HOT_RAMP,1.000000e-06,-40.00,6,-55.054
3280.0,3,HOT_RAMP,1.000000e-06,-37.50,1,-54.299
3280.0,3,HOT_RAMP,1.000000e-06,-37.50,2,-46.492
3280.0,3,HOT_RAMP,1.000000e-06,-37.50,3,-41.180
3280.0,3,HOT_RAMP,1.000000e-06,-37.50,4,-37.574
3280.0,3,HOT_RAMP,1.000000e-06,-37.50,5,-42.811
3280.0,3,HOT_RAMP,1.000000e-06,-37.50,6,-51.530
3285.0,3,HOT_RAMP,1.000000e-06,-35.00,1,-50.738
3285.0,3,HOT_RAMP,1.000000e-06,-35.00,2,-43.418
3285.0,3,HOT_RAMP,1.000000e-06,-35.00,3,-38.441
3285.0,3,HOT_RAMP,1.000000e-06,-35.00,4,-34.956
3285.0,3,HOT_RAMP,1.000000e-06,-35.00,5,-39.958
3285.0,3,HOT_RAMP,1.000000e-06,-35.00,6,-48.051
3290.0,3,HOT_RAMP,1.000000e-06,-32.50,1,-47.277
3290.0,3,HOT_RAMP,1.000000e-06,-32.50,2,-40.470
3290.0,3,HOT_RAMP,1.000000e-06,-32.50,3,-35.735
3290.0,3,HOT_RAMP,1.000000e-06,-32.50,4,-32.285
3290.0,3,HOT_RAMP,1.000000e-06,-32.50,5,-37.158
3290.0,3,HOT_RAMP,1.000000e-06,-32.50,6,-44.743
3295.0,3,HOT_RAMP,1.000000e-06,-30.00,1,-43.872
3295.0,3,HOT_RAMP,1.000000e-06,-30.00,2,-37.417
3295.0,3,HOT_RAMP,1.000000e-06,-30.00,3,-32.940
3295.0,3,HOT_RAMP,1.000000e-06,-30.00,4,-29.765
3295.0,3,HOT_RAMP,1.000000e-06,-30.00,5,-34.461
3295.0,3,HOT_RAMP,1.000000e-06,-30.00,6,-41.416
3300.0,3,HOT_DWELL,1.000000e-06,-27.50,1,-40.653
3300.0,3,HOT_DWELL,1.000000e-06,-27.50,2,-34.523
3300.0,3,HOT_DWELL,1.000000e-06,-27.50,3,-30.321
3300.0,3,HOT_DWELL,1.000000e-06,-27.50,4,-27.611
3300.0,3,HOT_DWELL,1.000000e-06,-27.50,5,-31.612
3300.0,3,HOT_DWELL,1.000000e-06,-27.50,6,-38.279
3305.0,3,HOT_DWELL,1.000000e-06,-25.00,1,-37.480
3305.0,3,HOT_DWELL,1.000000e-06,-25.00,2,-31.517
3305.0,3,HOT_DWELL,1.000000e-06,-25.00,3,-27.475
3305.0,3,HOT_DWELL,1.000000e-06,-25.00,4,-25.108
3305.0,3,HOT_DWELL,1.000000e-06,-25.00,5,-28.949
3305.0,3,HOT_DWELL,1.000000e-06,-25.00,6,-35.138
