day,mode,winner_sat_id,max_temp_cpu,avg_temp_cpu,total_tasks_completed,total_overheat_incidents
1.60,egoistic,6,68.27,35.70,17,1
1.70,egoistic,7,76.00,35.95,18,1
1.80,egoistic,8,60.23,34.54,19,1
1.90,egoistic,9,86.32,36.20,20,2
2.00,egoistic,0,84.21,37.09,21,2
2.10,egoistic,1,87.31,38.04,22,3
2.20,egoistic,2,81.78,38.11,23,3
2.30,egoistic,3,83.99,38.39,24,3
2.40,egoistic,4,62.77,35.71,25,3
2.50,egoistic,5,79.80,36.31,26,3
2.60,egoistic,6,65.77,35.33,27,3
2.70,egoistic,7,86.07,36.69,28,4
2.80,egoistic,8,81.31,37.15,29,4
2.90,egoistic,9,84.08,37.69,30,4
3.00,egoistic,0,82.23,37.86,31,4
3.10,egoistic,1,64.03,36.15,32,4
3.20,egoistic,2,81.35,36.74,33,4
3.30,egoistic,3,60.96,34.85,34,4
3.40,egoistic,4,83.47,36.12,35,4
3.50,egoistic,5,83.65,36.95,36,4
3.60,egoistic,6,62.49,35.34,37,4
3.70,egoistic,7,82.38,36.28,38,4
3.80,egoistic,8,70.26,35.70,39,4
3.90,egoistic,9,65.11,34.79,40,4
4.00,egoistic,0,81.53,35.82,41,4
4.10,egoistic,1,61.95,34.58,42,4
4.20,egoistic,2,55.55,33.08,43,4
4.30,egoistic,3,60.61,32.62,44,4
4.40,egoistic,4,65.81,32.78,45,4
4.50,egoistic,5,83.82,34.69,46,4
4.60,egoistic,6,86.65,36.28,47,5
4.70,egoistic,7,64.45,35.06,48,5
4.80,egoistic,8,75.92,35.44,49,5
4.90,egoistic,9,67.64,34.87,50,5
5.00,egoistic,0,87.62,36.45,51,6
5.10,egoistic,1,72.13,36.00,52,6
5.20,egoistic,2,85.48,37.04,53,7
5.30,egoistic,3,63.64,34.96,54,7
5.40,egoistic,4,86.78,36.45,55,8
5.50,egoistic,5,64.50,34.80,56,8
5.60,egoistic,6,87.05,36.32,57,9
5.70,egoistic,7,64.67,34.97,58,9
5.80,egoistic,8,58.03,33.55,59,9
5.90,egoistic,9,68.75,33.68,60,9
6.00,egoistic,0,79.17,34.77,61,9
6.10,egoistic,1,64.80,34.09,62,9
6.20,egoistic,2,74.97,34.62,63,9
6.30,egoistic,3,71.02,34.63,64,9
6.40,egoistic,4,67.55,34.23,65,9
6.50,egoistic,5,73.26,34.58,66,9
6.60,egoistic,6,63.15,33.75,67,9
6.70,egoistic,7,77.74,34.70,68,9
6.80,egoistic,8,58.38,32.95,69,9
6.90,egoistic,9,85.15,34.88,70,10
7.00,egoistic,0,72.42,34.88,71,10
7.10,egoistic,1,78.10,35.48,72,10
7.20,egoistic,2,79.12,35.95,73,10
7.30,egoistic,3,76.60,36.02,74,10
7.40,egoistic,4,66.19,35.04,75,10
7.50,egoistic,5,56.45,33.38,76,10
7.60,egoistic,6,76.13,34.26,77,10
7.70,egoistic,7,65.28,33.74,78,10
7.80,egoistic,8,64.15,33.31,79,10
7.90,egoistic,9,82.86,34.84,80,10
8.00,egoistic,0,78.20,35.41,81,10
8.10,egoistic,1,64.25,34.39,82,10
8.20,egoistic,2,64.56,33.73,83,10
8.30,egoistic,3,67.81,33.61,84,10
8.40,egoistic,4,67.31,33.51,85,10
8.50,egoistic,5,63.53,33.07,86,10
8.60,egoistic,6,58.31,32.21,87,10
8.70,egoistic,7,67.85,32.61,88,10
8.80,egoistic,8,85.27,34.62,89,11
8.90,egoistic,9,76.93,35.09,90,11
9.00,egoistic,0,84.38,36.16,91,11
9.10,egoistic,1,74.33,35.89,92,11
9.20,egoistic,2,63.75,34.65,93,11
9.30,egoistic,3,72.13,34.65,94,11
9.40,egoistic,4,54.51,32.80,95,11
9.50,egoistic,5,63.24,32.54,96,11
9.60,egoistic,6,68.04,32.82,97,11
9.70,egoistic,7,73.15,33.51,98,11
9.80,egoistic,8,76.12,34.24,99,11
9.90,egoistic,9,69.50,34.07,100,11
