Time_min,T_CPU_Ctrl,T_CPU_Unctrl,Action,Louver_Eps
162.0,74.8705635878225,118.53649096938727,CPU THROTTLING,0.15
163.0,74.9019268352789,118.62597882443019,CPU THROTTLING,0.15
164.0,75.2315353996871,118.94317139491076,CPU THROTTLING,0.15
165.0,75.8473073200871,119.49923697171086,CPU THROTTLING,0.15
166.0,76.74069443697321,120.29757011524538,CPU THROTTLING,0.15
167.0,77.90246252668616,121.33510672479349,CPU THROTTLING,0.15
168.0,79.32105253293767,122.60347740400002,CPU THROTTLING,0.15
169.0,78.099356549142,124.0900058309801,EMERGENCY SAFE-MODE,0.85
170.0,79.96618183615952,125.7785780914615,CPU THROTTLING,0.15
171.0,79.00663032686761,127.65040842284098,EMERGENCY SAFE-MODE,0.85
172.0,78.40416919576504,129.68472009022904,EMERGENCY SAFE-MODE,0.85
173.0,77.93755670878373,131.85935279634143,EMERGENCY SAFE-MODE,0.85
174.0,77.67759773663131,134.1513022492963,EMERGENCY SAFE-MODE,0.85
175.0,77.63916879559164,136.53719385951578,EMERGENCY SAFE-MODE,0.85
176.0,77.80325163760986,138.99369089328505,EMERGENCY SAFE-MODE,0.85
177.0,78.13848581714639,141.49783735096855,EMERGENCY SAFE-MODE,0.85
178.0,78.61088111880356,144.02733682792413,EMERGENCY SAFE-MODE,0.85
179.0,79.18762010127021,146.5607701302766,EMERGENCY SAFE-MODE,0.85
180.0,79.83833041790248,149.07775601336428,EMERGENCY SAFE-MODE,0.85
181.0,80.53534141982863,151.55906076835615,EMERGENCY SAFE-MODE,0.85
182.0,81.25356795166267,153.98666331642528,EMERGENCY SAFE-MODE,0.85
183.0,81.97028262285279,156.34378291487778,EMERGENCY SAFE-MODE,0.85
184.0,82.66487546888915,158.61487656345875,EMERGENCY SAFE-MODE,0.85
185.0,83.31863327699583,160.78561280821313,EMERGENCY SAFE-MODE,0.85
186.0,83.91454516887684,162.84282798803147,EMERGENCY SAFE-MODE,0.85
187.0,84.43713233954944,164.77447016997672,EMERGENCY SAFE-MODE,0.85
188.0,84.87229782712981,166.56953517298928,EMERGENCY SAFE-MODE,0.85
189.0,85.20719250920415,168.21799826130126,EMERGENCY SAFE-MODE,0.85
190.0,85.43009445981154,169.7107443491855,EMERGENCY SAFE-MODE,0.85
191.0,85.530299729271,171.03949892502754,EMERGENCY SAFE-MODE,0.85
192.0,85.49802334600702,172.19676138455003,EMERGENCY SAFE-MODE,0.85
193.0,85.32430987166516,173.1757420569787,EMERGENCY SAFE-MODE,0.85
194.0,85.00095320685162,173.97030390271323,EMERGENCY SAFE-MODE,0.85
195.0,84.52042559089152,174.57490964128726,EMERGENCY SAFE-MODE,0.85
196.0,83.87581590345404,174.98457491736508,EMERGENCY SAFE-MODE,0.85
197.0,83.0607774859873,175.1948280139098,EMERGENCY SAFE-MODE,0.85
198.0,82.06948577358419,175.20167656039706,EMERGENCY SAFE-MODE,0.85
199.0,80.89660607175311,175.00158164652288,EMERGENCY SAFE-MODE,0.85
200.0,79.53727182978196,174.59143972620822,EMERGENCY SAFE-MODE,0.85
201.0,80.84299008086796,173.96857267198172,CPU THROTTLING,0.15
202.0,79.02063546850479,173.13072630608136,EMERGENCY SAFE-MODE,0.85
203.0,79.98035817831337,172.07945953710524,CPU THROTTLING,0.15
204.0,80.5699856668722,170.83711364482357,CPU THROTTLING,0.15
205.0,81.07584099652968,169.44862272925286,CPU THROTTLING,0.15
206.0,81.43592552056477,167.96143408787862,CPU THROTTLING,0.15
207.0,81.63271753364769,166.41539149303097,CPU THROTTLING,0.15
208.0,81.68142541357652,164.84116612355461,CPU THROTTLING,0.15
209.0,81.60778767935777,163.26129309077132,CPU THROTTLING,0.15
210.0,81.43776340979089,161.69181995197087,CPU THROTTLING,0.15
211.0,81.19389353097431,160.14387291126386,CPU THROTTLING,0.15
212.0,80.8945361093773,158.62494192179466,CPU THROTTLING,0.15
213.0,80.55418342423603,157.1398702772318,CPU THROTTLING,0.15
214.0,80.18409604581595,155.6915932376647,CPU THROTTLING,0.15
215.0,79.79295286647226,154.2816807550303,CPU THROTTLING,0.15
216.0,79.38741508874358,152.9107332769373,CPU THROTTLING,0.15
217.0,78.97258305928149,151.57866951075573,CPU THROTTLING,0.15
218.0,78.5523545427962,150.28493545224998,CPU THROTTLING,0.15
219.0,78.12970145494901,149.02865620670727,CPU THROTTLING,0.15
220.0,77.70688227546921,147.8087462273669,CPU THROTTLING,0.15
221.0,77.28560486666109,146.623989260281,CPU THROTTLING,0.15
222.0,76.86715143736194,145.47309615162786,CPU THROTTLING,0.15
223.0,76.4524747069918,144.35474642508728,CPU THROTTLING,0.15
224.0,76.04227214464001,143.26761792569653,CPU THROTTLING,0.15
225.0,79.40654319276378,142.21040766981028,NOMINAL,0.15
226.0,77.38147041519909,141.18184620694046,CPU THROTTLING,0.15
227.0,79.95921037479036,140.18070719507406,NOMINAL,0.15
228.0,81.30792350561944,139.20581345076752,NOMINAL,0.15
229.0,82.0548346012941,138.2560404125207,NOMINAL,0.15
230.0,78.72608305170962,137.33031771788333,CPU THROTTLING,0.15
231.0,80.62960812458161,136.42762941821093,NOMINAL,0.15
232.0,81.61487418341187,135.54701322339199,NOMINAL,0.15
233.0,82.15644897241683,134.6875590703259,NOMINAL,0.15
234.0,82.47507821138451,133.84840723484476,NOMINAL,0.15
235.0,82.67716805487217,133.02874615089482,NOMINAL,0.15
236.0,82.81534664093918,132.22781005854358,NOMINAL,0.15
237.0,82.91642958711918,131.44487657038061,NOMINAL,0.15
238.0,79.22527789431813,130.67926422162657,CPU THROTTLING,0.15
239.0,80.91372975142295,129.93033005088543,NOMINAL,0.15
240.0,81.76376312242998,129.1974672445632,NOMINAL,0.15
241.0,82.21551445661933,128.4801028674722,NOMINAL,0.15
242.0,82.47150527117152,127.77769569423953,NOMINAL,0.15
243.0,82.62808558073138,127.08973415022858,NOMINAL,0.15
244.0,82.73207471590968,126.41573436629686,NOMINAL,0.15
245.0,82.80677265531227,125.75523834849372,NOMINAL,0.15
246.0,82.86413728922828,125.10781226147171,NOMINAL,0.15
247.0,82.91054965648614,124.47304482273454,NOMINAL,0.15
248.0,79.18366447156208,123.85394724320636,CPU THROTTLING,0.15
249.0,77.1044721807691,123.27428912709648,CPU THROTTLING,0.15
250.0,75.89428709651048,122.78095238966765,CPU THROTTLING,0.15
251.0,75.21484507402099,122.423597805068,CPU THROTTLING,0.15
252.0,74.92055530157226,122.24358071446228,CPU THROTTLING,0.15
253.0,74.9503027567455,122.27144023011365,CPU THROTTLING,0.15
254.0,75.27852272765999,122.52726834160109,CPU THROTTLING,0.15
255.0,75.89306623818914,123.02198009702025,CPU THROTTLING,0.15
256.0,76.78533906478854,123.75873934435462,CPU THROTTLING,0.15
257.0,77.94607453963715,124.73428288869746,CPU THROTTLING,0.15
258.0,79.36369033654081,125.94008006976546,CPU THROTTLING,0.15
259.0,78.1409369013586,127.3633350247682,EMERGENCY SAFE-MODE,0.85
260.0,80.00640744202695,128.98785792499925,CPU THROTTLING,0.15
261.0,79.0456056991789,130.79483083150345,EMERGENCY SAFE-MODE,0.85
262.0,78.44169387157808,132.76348704632684,EMERGENCY SAFE-MODE,0.85
263.0,77.97354727878555,134.87171553895482,EMERGENCY SAFE-MODE,0.85
264.0,77.7120773494326,137.0965963051961,EMERGENCY SAFE-MODE,0.85
265.0,77.67219893021357,139.4148689229118,EMERGENCY SAFE-MODE,0.85
266.0,77.83490236253535,141.8033349682132,EMERGENCY SAFE-MODE,0.85
267.0,78.16882508985624,144.23919490932283,EMERGENCY SAFE-MODE,0.85
268.0,78.63997182312238,146.700321065373,EMERGENCY SAFE-MODE,0.85
269.0,79.21551994817682,149.1654696828799,EMERGENCY SAFE-MODE,0.85
