time,power_w,T_cpu_measured,T_cpu_real,T_cpu_estimated,T_rad_measured,T_rad_real,estimated_C,estimated_eps,residual
1920,0.0,-3.361131361814452,-3.5421171440985404,-1.9129537709659417,-15.035765132520925,-14.444121267113246,215.71956134743175,0.98,-1.4481775908485104
1925,0.0,-2.7869752713628033,-3.7762887328914303,-2.1907379702478806,-14.788196439702109,-14.51512505219398,213.6391886113728,0.98,-0.5962373011149227
1930,0.0,-3.0432035309669785,-4.003270049012201,-2.4623842737237283,-14.677540743948292,-14.587147953526937,211.64009894805898,0.98,-0.5808192572432502
1935,0.0,-2.6232068754421176,-4.2234339147761375,-2.7280045935341377,-15.281934186908735,-14.660110150182845,211.99577709168258,0.9743320783919023,0.1047977180920201
1940,0.0,-3.484770822251993,-4.437132213090877,-2.9849904903111337,-13.440233947013208,-14.733935667038963,210.35899697020432,0.98,-0.49978033194085913
1945,0.0,-3.9346395656476654,-4.644697114287226,-3.2361026882857686,-14.43655849620632,-14.808552360774001,208.10827783838664,0.98,-0.6985368773618967
1950,0.0,-4.051181325087153,-4.846442227832142,-3.4822674217734857,-14.667956648789314,-14.883891871657795,206.29354787549886,0.98,-0.5689139033136676
1955,0.0,-4.669840487856099,-5.042663683877379,-3.723148730221112,-15.260874166091133,-14.959889548614797,203.31525825371716,0.98,-0.9466917576349871
1960,0.0,-5.687082210989551,-5.233641149221967,-3.960254126361633,-15.009059362012172,-15.03648435375527,197.89426232363382,0.98,-1.7268280846279183
1965,0.0,-5.588917135164799,-5.419638781927972,-4.196495951424708,-14.94653727817853,-15.113618751492083,193.42360466315048,0.98,-1.3924211837400904
1970,0.0,-4.7692223262412865,-5.600906128520364,-4.430771991374797,-15.898869053303672,-15.191238586455938,192.3220346803932,0.98,-0.3384503348664891
1975,0.0,-4.944257784887295,-5.777678967419149,-4.659155085373868,-15.682482283225093,-15.269292953661534,191.41303083949634,0.98,-0.2851026995134269
1980,0.0,-5.321135123638001,-5.95018010199658,-4.881685945982838,-15.753465181093352,-15.347734063743872,190.0424748446133,0.98,-0.4394491776551632
1985,0.0,-6.4401833850325305,-6.118620106414085,-5.099144646892057,-15.648417885719478,-15.426517105551113,185.92922933203224,0.98,-1.3410387381404734
1990,0.0,-6.742392238759591,-6.283198027179878,-5.314793741077835,-15.206279736570913,-15.505600107937141,181.49443264216518,0.98,-1.427598497681756
1995,0.0,-5.838301722378244,-6.4441020431670495,-5.529038117831874,-15.393643040904811,-15.584943802226178,180.5174315144357,0.98,-0.3092636045463699
2000,0.0,-6.21671212005298,-6.6015100866496255,-5.737939279888394,-15.799646572788804,-15.664511486514186,179.03582729276016,0.98,-0.4787728401645861
2005,0.0,-6.168768214495086,-6.755590427745858,-5.942305186329122,-15.640081451351334,-15.74426889271615,178.34508703375073,0.98,-0.22646302816596364
2010,0.0,-6.948999672282946,-6.906502224499718,-6.1414624576742085,-16.075719351491625,-15.824184057056073,175.9372742780178,0.98,-0.8075372146087378
2015,0.0,-5.8774646548461735,-7.054396040688459,-6.337511024113553,-16.446115674751717,-15.904227194521695,177.305045851096,0.9554507766342901,0.4600463692673795
2020,0.0,-7.26252816634865,-7.199414333309505,-6.526550242383394,-15.456765006049475,-15.984370577661707,175.21289040870565,0.98,-0.7359779239652564
2025,0.0,-6.427498397099911,-7.341691911574628,-6.712558164720349,-16.32111588978364,-16.06458841998642,176.01919024147904,0.9648098809490102,0.28505976762043783
2030,0.0,-7.614204199135583,-7.481356369125024,-6.892705840615577,-14.992013856099728,-16.144856764134374,174.05309067956588,0.98,-0.7214983585200061
2035,0.0,-7.18403316570185,-7.618528491072311,-7.07006747582534,-15.827968323668324,-16.225153374891875,173.74408661633453,0.98,-0.11396568987651001
2040,0.0,-7.571379835382691,-7.75332263736982,-7.243125533723344,-16.29006372475859,-16.305457637086704,172.8746823146588,0.98,-0.32825430165934755
2045,0.0,-7.6895303224710725,-7.885847103926096,-7.412644977993068,-15.823518078689249,-16.385750458329994,172.15317506017308,0.98,-0.2768853444780044
2050,0.0,-8.02968410529538,-8.016204462785083,-7.578656551422455,-17.070651948119533,-16.46601417653841,170.99810689688601,0.98,-0.45102755387292426
2055,0.0,-6.593716668961114,-8.144491882614602,-7.741733203312549,-16.867851460523273,-16.54623247213806,173.9038891900217,0.9190613842727692,1.1480165343514352
2060,0.0,-7.175181203163216,-8.270801430671042,-7.8983553406047236,-16.823026592992054,-16.626390284829313,175.63149566494903,0.8806967584064693,0.7231741374415073
