artifact_path,artifact_type,size_bytes,last_modified
dashboard/src/app/[lang]/discoveries/page.tsx,unknown,12545,2026-05-24 19:31:29
dashboard/src/app/[lang]/interactive/page.tsx,unknown,4878,2026-05-24 14:05:57
dashboard/src/app/[lang]/learn/LearnPageClient.tsx,unknown,17359,2026-05-24 15:59:14
dashboard/src/app/[lang]/learn/page.tsx,unknown,515,2026-05-24 15:59:17
dashboard/src/app/[lang]/mathematics/page.tsx,unknown,5212,2026-05-26 15:51:17
dashboard/src/app/[lang]/physics/page.tsx,unknown,232,2026-05-26 15:51:09
dashboard/src/app/[lang]/quantum/page.tsx,unknown,5260,2026-05-26 15:51:20
dashboard/src/app/[lang]/satellite/page.tsx,unknown,90499,2026-05-29 12:47:27
dashboard/src/components/cinematic/AmbientBackground.tsx,unknown,1901,2026-05-24 14:05:44
dashboard/src/components/cinematic/AuroraLayer.tsx,unknown,1605,2026-05-18 22:09:47
dashboard/src/components/cinematic/DynamicGlow.tsx,unknown,1386,2026-05-18 22:09:47
dashboard/src/components/cinematic/FloatingParticles.tsx,unknown,1538,2026-05-24 14:05:46
dashboard/src/components/cinematic/NoiseTexture.tsx,unknown,270,2026-05-18 22:09:47
dashboard/src/components/cinematic/RadialIllumination.tsx,unknown,635,2026-05-18 22:09:47
dashboard/src/components/cinematic/ScientificGrid.tsx,unknown,760,2026-05-18 22:09:47
dashboard/src/components/dashboard/BenchmarkChart.tsx,unknown,3159,2026-05-19 08:19:41
dashboard/src/components/dashboard/KPICard.tsx,unknown,3322,2026-05-18 22:12:41
dashboard/src/components/educational/ConceptDetailModal.tsx,unknown,15839,2026-05-24 15:58:57
dashboard/src/components/educational/ConceptVisualizer.tsx,unknown,4342,2026-05-19 13:44:38
dashboard/src/components/educational/ExplainLikeIm15.tsx,unknown,1844,2026-05-19 13:44:51
dashboard/src/components/educational/GuidedConceptFlow.tsx,unknown,3397,2026-05-24 16:01:00
dashboard/src/components/educational/InteractiveAnalogy.tsx,unknown,2075,2026-05-19 13:45:06
dashboard/src/components/educational/LearningTooltip.tsx,unknown,1282,2026-05-19 13:47:53
dashboard/src/components/educational/ProgressiveExplanation.tsx,unknown,2262,2026-05-19 13:45:20
dashboard/src/components/educational/ScientificStory.tsx,unknown,1684,2026-05-19 13:45:50
dashboard/src/components/educational/StepByStepDiscovery.tsx,unknown,2642,2026-05-19 13:48:10
dashboard/src/components/interactive/DynamicSystemSimulator.tsx,unknown,6617,2026-05-24 14:05:51
dashboard/src/components/interactive/EmbeddingExplorer.tsx,unknown,5616,2026-05-20 14:15:02
dashboard/src/components/interactive/GeometryVisualizer.tsx,unknown,9149,2026-05-20 14:14:29
dashboard/src/components/interactive/ModelComparator.tsx,unknown,5945,2026-05-20 14:14:35
dashboard/src/components/interactive/NoiseVisualizer.tsx,unknown,5327,2026-05-20 16:05:50
dashboard/src/components/interactive/SignalPlayground.tsx,unknown,8298,2026-05-20 16:05:50
dashboard/src/components/layout/AdaptiveSidebar.tsx,unknown,6604,2026-05-20 15:45:57
dashboard/src/components/layout/Breadcrumbs.tsx,unknown,2199,2026-05-20 14:15:59
dashboard/src/components/layout/DomainSelector.tsx,unknown,5323,2026-05-26 15:51:03
dashboard/src/components/layout/ExperimentalDock.tsx,unknown,1764,2026-05-19 08:19:31
dashboard/src/components/layout/FocusMode.tsx,unknown,936,2026-05-19 08:19:13
dashboard/src/components/layout/Header.tsx,unknown,2936,2026-05-26 15:51:05
dashboard/src/components/layout/Sidebar.tsx,unknown,6114,2026-05-20 15:45:49
dashboard/src/components/motion/AnimatedCounter.tsx,unknown,943,2026-05-18 22:09:47
dashboard/src/components/motion/FadeIn.tsx,unknown,494,2026-05-18 22:09:47
dashboard/src/components/motion/MorphingCard.tsx,unknown,694,2026-05-18 22:09:47
dashboard/src/components/motion/Reveal.tsx,unknown,587,2026-05-18 22:09:47
dashboard/src/components/motion/ScrollReveal.tsx,unknown,749,2026-05-18 22:09:47
dashboard/src/components/motion/StaggerContainer.tsx,unknown,839,2026-05-18 22:09:47
dashboard/src/components/scientific/CertificationStatusCard.tsx,unknown,4032,2026-05-20 22:38:53
dashboard/src/components/scientific/ConceptBreakdown.tsx,unknown,1544,2026-05-19 13:46:39
dashboard/src/components/scientific/ConfidenceBadge.tsx,unknown,1571,2026-05-19 22:14:01
dashboard/src/components/scientific/CriticalRegionDetector.tsx,unknown,1008,2026-05-20 22:39:10
dashboard/src/components/scientific/DiscoveryCard.tsx,unknown,10177,2026-05-24 16:00:37
