Time_s,Pressure_mbar,Heater_Power_W,T_Real_CPU,T_Real_Battery,T_Meas_CPU,T_Meas_Battery,T_Meas_Payload,T_Meas_Structure,T_Meas_Radiator,T_Meas_Panels,T_Pred_CPU,T_Pred_Battery,T_Pred_Payload,T_Pred_Structure,T_Pred_Radiator,T_Pred_Panels
3890.0,8.934613849629432e-06,0.0,-0.9668474258117499,10.686507114993617,-0.4608134758166784,10.764013696387167,4.590885306943221,-2.318171526348351,-9.660012888637937,-4.097212183499323,-21.421659325136602,-8.770235465497422,-16.872015806542834,-22.50697517735989,-27.295464058912813,-23.53112549893902
3900.0,9.057701300944905e-06,0.0,-1.0421139306919827,10.635133835112867,-0.5918412648887852,10.824594443290607,4.135340727319601,-2.260664461393958,-9.514274550633957,-4.015292213742555,-21.541458438260236,-8.898590377006371,-16.99517249801181,-22.623968311631813,-27.404151101506187,-23.649024433626778
3910.0,9.091935084393868e-06,0.0,-1.1172195326227552,10.58368464624374,-0.693362201284458,10.831480016561386,4.31710617326479,-2.6369003634461023,-9.005445958005623,-3.1902180651817957,-21.660955298759433,-9.026810168494137,-17.118005351300724,-22.74067526767371,-27.512580952717116,-23.766622145722266
3920.0,8.838979076624437e-06,0.0,-1.192165589621311,10.532160365850189,-1.1387042989188672,10.657539426073981,3.9268784970606134,-2.723646944594691,-9.318971523182142,-2.0610393134305127,-21.780151599501096,-9.154893383274782,-17.240516313068326,-22.85709756410506,-27.620754971612854,-23.88392013529068
3930.0,8.996281049145923e-06,0.0,-1.2669534343292526,10.48056180513845,-1.2475721718182626,10.527622203196415,4.065358976491439,-2.9624699274784803,-8.984898410950336,-4.64290803679495,-21.89904901536005,-9.282838594529608,-17.362707308125778,-22.973236704404428,-27.7286745034408,-24.00091989601188
3940.0,8.88321951565217e-06,0.0,-1.3415843746770975,10.428889769117859,-1.1047381398875586,10.632135671797357,3.8424716005285404,-2.7641669791366326,-9.876808340711364,-3.69952446601809,-22.017649203510103,-9.41064440485087,-17.484580239776932,-23.089094177133546,-27.836340879838644,-24.117622914995138
3950.0,8.965253916913415e-06,0.0,-1.4160596945282578,10.377145056660993,-1.31071462155262,10.545544058064422,3.823354307836439,-3.053505738763306,-9.516282080494761,-4.767283838981257,-22.135953803708418,-9.53830944579255,-17.60613699015272,-23.204671456156717,-27.943755419040087,-24.234030672604888
3960.0,8.947576500601837e-06,0.0,-1.4903806543026121,10.325328460563242,-1.688271186660927,10.304658160178576,3.793089960717623,-3.136297759285867,-9.616997644067453,-4.150436821258836,-22.253964438573263,-9.66583237742799,-17.727379420539876,-23.319970000855818,-28.05091942607612,-24.350144642296954
3970.0,8.995520652410443e-06,0.0,-1.5645484915805241,10.273440767601187,-1.2780444979385948,10.221156607435034,3.5329691505779692,-3.3641958055601435,-9.927666858928944,-4.508511712884683,-22.37168271385542,-9.793211887914083,-17.848309371703692,-23.434991256340936,-28.157834192972246,-24.46596629046519
3980.0,8.918521045790698e-06,0.0,-1.6385644216881587,10.221482758590525,-1.7864178491843177,10.20803472962416,3.7335584323354283,-3.1073825612360224,-10.062737593333111,-4.637455955254836,-22.48911021870333,-9.920446693062047,-17.968928664205237,-23.54973665365688,-28.264500998941543,-24.581497076297637
3990.0,8.825851214905966e-06,0.0,-1.7124296382644388,10.169455208443082,-1.6075763991813687,10.077651693610449,3.735682051447043,-3.654040382190658,-9.929682341805119,-3.9911678312460026,-22.60624852592244,-10.047535535914847,-18.08923909871291,-23.664207609985482,-28.37092111057376,-24.696738451642148
4000.0,8.844234666538216e-06,20.0,-0.7861453138107208,10.117358886222917,-0.7366245317920175,10.265306011671896,3.344148598187928,-3.386316333796799,-11.410925314080146,-4.440640606230772,-21.72309919222863,-10.174477186330762,-18.209242456308516,-23.778405528844104,-28.477095782020598,-24.811691860880927
4010.0,8.76092906083814e-06,20.0,-0.49980355409718413,10.065194555202197,-0.7819821252796828,10.033377371216773,3.445629051335743,-3.5613698895286348,-7.960342769588635,-4.748997323316644,-20.93984292484646,-10.301270440573376,-18.328940498787773,-23.872331800280108,-28.583026255177145,-24.926358740813782
